,BOLÍVAR,BOYACÁ,CALDAS,CAQUETÁ,CAUCA,CESAR,CÓRDOBA,CUNDINAMARCA,CHOCÓ,HUILA,LA GUAJIRA,MAGDALENA,META,NARIÑO,NORTE DE SANTANDER,QUINDIO,RISARALDA,SANTANDER,SUCRE,TOLIMA,VALLE DEL CAUCA,ARAUCA,CASANARE,PUTUMAYO,">ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",AMAZONAS,GUAINIA,GUAVIARE,VAUPES,VICHADA,NN,ANTIOQUIA,ATLANTICO,BOGOTÁ
2020-03-26,0.23616129159927368,0.9270470142364502,0.9170939922332764,0.9075329303741455,0.9451883435249329,0.5120643973350525,0.44149476289749146,0.9492233991622925,0.7549540400505066,0.8818557262420654,0.2111341655254364,0.3362264633178711,0.7526316046714783,0.9109602570533752,0.6550567746162415,0.9323021173477173,0.898196280002594,0.6661282181739807,0.22973395884037018,0.9273044466972351,0.8893858790397644,0.7950000166893005,0.8258278369903564,0.8057060837745667,,0.8498741984367371,0.9071563482284546,0.8361210227012634,0.8214234709739685,0.4218050241470337,0.9484013915061951,0.6727496385574341,0.13266025483608246,0.965323269367218
2020-04-19,0.854903519153595,0.9388850331306458,0.7864051461219788,0.7314287424087524,0.747169017791748,0.8561948537826538,0.850147008895874,0.8772526383399963,0.5744749903678894,0.7609220147132874,0.8742232918739319,0.8428493738174438,0.7151101231575012,0.5982198119163513,0.8503983616828918,0.8730769157409668,0.7981719970703125,0.832396924495697,0.8519082069396973,0.8019734621047974,0.7654896974563599,0.8795992732048035,0.6963231563568115,0.7374835014343262,,0.8518081307411194,0.8852188587188721,0.6862111687660217,0.8131154179573059,0.7845830917358398,0.8591326475143433,0.8012373447418213,0.9858012199401855,0.8894913196563721
2020-04-08,0.8142682313919067,0.9745391607284546,0.9391409754753113,0.9908380508422852,0.95036381483078,0.9475671052932739,0.8189846873283386,0.9738851189613342,0.9584471583366394,0.9667438268661499,0.744499683380127,0.8704931735992432,0.9966671466827393,0.9095016717910767,0.9905855655670166,0.9697881937026978,0.9304985404014587,0.9652202725410461,0.698338508605957,0.9585424065589905,0.988460898399353,0.9835714101791382,0.9882144331932068,0.9601686596870422,,0.9992876648902893,0.9995953440666199,0.9979842305183411,0.9943982362747192,0.989611029624939,0.9601140022277832,0.9439004063606262,0.7415705323219299,0.9932147264480591
2020-03-29,0.26315993070602417,0.8540005087852478,0.9388412833213806,0.90746009349823,0.9454972147941589,0.3352949321269989,0.42056629061698914,0.896220862865448,0.9731530547142029,0.8924727439880371,0.26104602217674255,0.2214658111333847,0.912054717540741,0.9509382843971252,0.7447134852409363,0.9613154530525208,0.9810353517532349,0.8647654056549072,0.16924986243247986,0.9185014367103577,0.951806366443634,0.7362682819366455,0.7901819348335266,0.903457760810852,,0.9965581297874451,0.9785420298576355,0.9818390607833862,0.9992125630378723,0.8448578715324402,0.895061731338501,0.8625969886779785,0.042259618639945984,0.8885365128517151
2020-04-20,0.5375899076461792,0.7656270265579224,0.5789395570755005,0.674217164516449,0.6881030797958374,0.7846039533615112,0.5061830282211304,0.7120358347892761,0.8960201740264893,0.5668976306915283,0.5143526792526245,0.6123378872871399,0.5235429406166077,0.6464826464653015,0.7096970677375793,0.833625078201294,0.7532621622085571,0.549736738204956,0.383531779050827,0.6190186142921448,0.8008272647857666,0.7331701517105103,0.5554559230804443,0.5788286328315735,,0.7900068759918213,0.8427526950836182,0.6348674893379211,0.8676701784133911,0.7649874687194824,0.6533589959144592,0.6667678952217102,0.5206006765365601,0.759671151638031
2020-03-15,0.19378450512886047,0.9446799755096436,0.8571627140045166,0.9755147099494934,0.9445492029190063,0.40552952885627747,0.32296475768089294,0.9668916463851929,0.7304544448852539,0.9458118081092834,0.25433287024497986,0.27618321776390076,0.986821174621582,0.8453446626663208,0.6714173555374146,0.9372072815895081,0.8791860938072205,0.8079836964607239,0.11438450962305069,0.8999484777450562,0.870224118232727,0.9603295922279358,0.9937349557876587,0.9013787508010864,,0.9524377584457397,0.8659523129463196,0.978422999382019,0.9012346863746643,0.9809786677360535,0.8979107141494751,0.6260051131248474,0.09985577315092087,0.969892144203186
2020-04-11,0.99834144115448,0.9961655735969543,0.9999342560768127,0.9019389152526855,0.9759461879730225,0.9994579553604126,0.9968220591545105,0.997334361076355,0.9989152550697327,0.9701403975486755,0.8936295509338379,0.9980860352516174,0.9745506048202515,0.9964402914047241,0.9886530637741089,0.9995262026786804,0.9999848008155823,0.996545672416687,0.9957783818244934,0.9996881484985352,0.9987025260925293,0.9529739022254944,0.915611982345581,0.9201008081436157,,0.86280757188797,0.9563279151916504,0.9677795767784119,0.972729504108429,0.8953328728675842,0.9746754765510559,0.9986744523048401,0.9854646921157837,0.9964539408683777
2020-04-14,0.46945783495903015,0.8401763439178467,0.961501955986023,0.8534860610961914,0.9653148651123047,0.5844199657440186,0.6976419687271118,0.8017655611038208,0.8977382183074951,0.8820501565933228,0.12830133736133575,0.5241921544075012,0.6556769609451294,0.9389147162437439,0.6021026372909546,0.965300977230072,0.9973537921905518,0.7740960121154785,0.5357426404953003,0.8588252067565918,0.9795487523078918,0.7321634292602539,0.7320834994316101,0.8883028030395508,,0.635915219783783,0.9197571873664856,0.8656894564628601,0.8143905401229858,0.9035786986351013,0.9360556602478027,0.8035739660263062,0.33676284551620483,0.8368453979492188
2020-03-13,0.4531524181365967,0.9304112792015076,0.7482576966285706,0.913383960723877,0.9524073004722595,0.6549398899078369,0.583441972732544,0.9090487360954285,0.7406773567199707,0.8128737211227417,0.3256087899208069,0.4397977888584137,0.8928277492523193,0.943467915058136,0.841619074344635,0.9523690342903137,0.8746388554573059,0.9111803770065308,0.3179648220539093,0.7931432723999023,0.8994311690330505,0.9540613889694214,0.945347249507904,0.8515066504478455,,0.994419515132904,0.9980499148368835,0.9415308237075806,0.9925851225852966,0.9961552023887634,0.8296929597854614,0.8237900733947754,0.23267628252506256,0.9250203967094421
2020-04-23,0.8571783304214478,0.9422374963760376,0.8955803513526917,0.8899332880973816,0.9122857451438904,0.9649029970169067,0.9581997394561768,0.9120740294456482,0.9887500405311584,0.916340708732605,0.9824969172477722,0.9721318483352661,0.8134658336639404,0.7678493857383728,0.8568235039710999,0.9702619314193726,0.9327341318130493,0.9557030200958252,0.8280714154243469,0.882640540599823,0.964502215385437,0.9532554149627686,0.9256476759910583,0.814967930316925,,0.7540197968482971,0.7502732276916504,0.8204459547996521,0.6690424680709839,0.6006132364273071,0.9941437244415283,0.9213932156562805,0.9303364753723145,0.9207924604415894
