,BOLÍVAR,BOYACÁ,CALDAS,CAQUETÁ,CAUCA,CESAR,CÓRDOBA,CUNDINAMARCA,CHOCÓ,HUILA,LA GUAJIRA,MAGDALENA,META,NARIÑO,NORTE DE SANTANDER,QUINDIO,RISARALDA,SANTANDER,SUCRE,TOLIMA,VALLE DEL CAUCA,ARAUCA,CASANARE,PUTUMAYO,">ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",AMAZONAS,GUAINIA,GUAVIARE,VAUPES,VICHADA,NN,ANTIOQUIA,ATLANTICO,BOGOTÁ
2020-03-31,0.27545249462127686,0.20709459483623505,0.18545082211494446,0.20036429166793823,0.3077380955219269,0.3333333432674408,0.235940083861351,0.23673184216022491,0.29972437024116516,0.30379563570022583,0.4006783366203308,0.35175442695617676,0.2315962165594101,0.21994401514530182,0.34520483016967773,0.28125,0.18821841478347778,0.24036560952663422,0.2750947177410126,0.2326214462518692,0.3080621361732483,0.3530034124851227,0.255439817905426,0.1544003039598465,,0.09904640913009644,0.16171830892562866,0.1494426280260086,0.08989984542131424,0.24012210965156555,0.328125,0.2269546389579773,0.2988782227039337,0.3318452537059784
2020-03-18,0.33672699332237244,0.16835585236549377,0.19296447932720184,0.19088684022426605,0.29719388484954834,0.4097973108291626,0.2697044610977173,0.18703444302082062,0.2949533760547638,0.2851027250289917,0.4282945692539215,0.41853076219558716,0.21212948858737946,0.17580698430538177,0.2984171211719513,0.35546875,0.21479886770248413,0.18815875053405762,0.3655302822589874,0.21953517198562622,0.2763806879520416,0.3008671998977661,0.19317130744457245,0.14651480317115784,,0.09077884256839752,0.09387549757957458,0.14268092811107635,0.08049886673688889,0.16043207049369812,0.3281250298023224,0.2396235466003418,0.41826921701431274,0.2976190447807312
2020-03-05,0.29628580808639526,0.16047297418117523,0.15744537115097046,0.10308514535427094,0.18613947927951813,0.3236486613750458,0.21161742508411407,0.14664804935455322,0.2430555373430252,0.1685216873884201,0.29772284626960754,0.3167762756347656,0.16915693879127502,0.14698617160320282,0.3085428476333618,0.2526041865348816,0.22413794696331024,0.18873517215251923,0.33357006311416626,0.13180486857891083,0.23915186524391174,0.2508459985256195,0.19126158952713013,0.0936526507139206,,0.07278748601675034,0.11997992545366287,0.10476060211658478,0.06528723239898682,0.17700636386871338,0.2395833432674408,0.14756274223327637,0.3149038553237915,0.2410714477300644
2020-03-04,0.31240570545196533,0.1456081122159958,0.14890709519386292,0.0935223177075386,0.1994047462940216,0.2912162244319916,0.26724138855934143,0.1365223526954651,0.2638358771800995,0.18207763135433197,0.2704699635505676,0.3158991038799286,0.15230199694633484,0.1664196401834488,0.2783985137939453,0.2317708432674408,0.2306034415960312,0.17276020348072052,0.3636363744735718,0.13745813071727753,0.26121795177459717,0.23508882522583008,0.1580439954996109,0.11039719730615616,,0.06968715041875839,0.09014630317687988,0.07940424233675003,0.049272485077381134,0.16014982759952545,0.2395833432674408,0.17064833641052246,0.32131412625312805,0.2113095372915268
2020-04-28,0.2739441990852356,0.15157657861709595,0.1526639312505722,0.12460155040025711,0.21352040767669678,0.32545045018196106,0.2741174101829529,0.1664339005947113,0.2969147562980652,0.169377863407135,0.31601259112358093,0.304166704416275,0.15949952602386475,0.17053689062595367,0.2517458200454712,0.37109375,0.21479883790016174,0.18017128109931946,0.32575756311416626,0.17179648578166962,0.2910502851009369,0.23360829055309296,0.19253471493721008,0.10737928748130798,,0.05803738906979561,0.07827739417552948,0.10448648035526276,0.05772864446043968,0.1703868955373764,0.21875,0.18625321984291077,0.3565705120563507,0.3526785671710968
2020-03-21,0.21436651051044464,0.16148649156093597,0.14754098653793335,0.1595514565706253,0.25756803154945374,0.31846848130226135,0.17580048739910126,0.1518854796886444,0.25026506185531616,0.23558790981769562,0.34956392645835876,0.28673243522644043,0.19120505452156067,0.14229248464107513,0.2681564390659332,0.2421875,0.21479883790016174,0.1512681245803833,0.1870265156030655,0.17860132455825806,0.24790436029434204,0.31630709767341614,0.22285881638526917,0.11438862979412079,,0.08363866806030273,0.11144578456878662,0.13125912845134735,0.08153817057609558,0.18883416056632996,0.2916666567325592,0.1815476268529892,0.22836539149284363,0.269345223903656
2020-03-24,0.23746229708194733,0.20472973585128784,0.19535517692565918,0.20440573990345,0.3164115846157074,0.3426801860332489,0.21151477098464966,0.21170857548713684,0.2973918616771698,0.2594178020954132,0.37705910205841064,0.3224780857563019,0.23411686718463898,0.20660409331321716,0.32064712047576904,0.3216145634651184,0.24137930572032928,0.19565217196941376,0.21283145248889923,0.21639446914196014,0.3052268326282501,0.33925551176071167,0.24322916567325592,0.1634540557861328,,0.0906144306063652,0.1324225515127182,0.17342835664749146,0.11295351386070251,0.21295157074928284,0.3489583432674408,0.20600064098834991,0.28685900568962097,0.3035714328289032
2020-04-02,0.34860485792160034,0.22297297418117523,0.18818305432796478,0.19336292147636414,0.29200682044029236,0.3978603482246399,0.25913381576538086,0.23289106786251068,0.3048133850097656,0.3057934045791626,0.4490068256855011,0.40383774042129517,0.24003885686397552,0.22002634406089783,0.35498136281967163,0.2994791865348816,0.20186780393123627,0.24044795334339142,0.30492424964904785,0.23031824827194214,0.28994083404541016,0.35511842370033264,0.2457754760980606,0.14495715498924255,,0.0915069580078125,0.15662650763988495,0.14281798899173737,0.08338057994842529,0.23347702622413635,0.3541666567325592,0.22808077931404114,0.3854166567325592,0.3303571045398712
2020-03-26,0.23746229708194733,0.1987612545490265,0.17588798701763153,0.1802709400653839,0.32465988397598267,0.3164414167404175,0.22711412608623505,0.20670391619205475,0.30364716053009033,0.2928082048892975,0.3854166865348816,0.3406798541545868,0.22907555103302002,0.20742753148078918,0.3250698447227478,0.3216145634651184,0.23204022645950317,0.19976942241191864,0.24195075035095215,0.2383793741464615,0.33962029218673706,0.30403977632522583,0.22673611342906952,0.1476830244064331,,0.0724586620926857,0.10707114636898041,0.1537828892469406,0.08569538593292236,0.1640496850013733,0.3697916567325592,0.22064027190208435,0.3068910241127014,0.3035714328289032
2020-04-19,0.33889514207839966,0.24189189076423645,0.25853827595710754,0.17901867628097534,0.27253398299217224,0.4534909725189209,0.3076765239238739,0.2701350152492523,0.3152565658092499,0.29295092821121216,0.48122575879096985,0.4027411937713623,0.23326653242111206,0.18568839132785797,0.3817504346370697,0.37109375,0.26580458879470825,0.24341237545013428,0.3321496248245239,0.2743927836418152,0.3256903290748596,0.34063032269477844,0.2536458373069763,0.1371690034866333,,0.10494174808263779,0.13367757201194763,0.1609557569026947,0.09807255864143372,0.24943555891513824,0.3072916567325592,0.25571107864379883,0.39102569222450256,0.419642835855484
