,Bogota,Valle del Cauca,Antioquia,Bolivar,Huila,Meta,Risaralda,Norte de Santander,Caldas,Cundinamarca,Atlantico,Santander,Quindio,Tolima,Cauca,Magdalena,Cesar,San Andres y Providencia,Casanare,Nariño,Boyaca,Cordoba,Sucre,La Guajira,Choco,Amazonas,Caqueta,Putumayo,Arauca,Vaupes,Guainia,Vichada,Guaviare
2020-03-17,4.192454276853468,3.455101114184972,3.45510111418497,4.234686842613078,,,9.361544189730923,,,,3.0103202750981204,,,,8.510710258025801,3.743004436209892,,,,,,,,,,,,,,,,,
2020-03-18,4.040214259410434,3.1750854063147984,3.3232459984495057,3.643178882963739,4.0360753086587,,8.510710258025805,5.276023415412724,,6.343950753414014,2.6935589705503875,,5.720804254499574,,6.846227186311718,3.3838529109079603,3.3838529109079594,,,,,,,,,,,,,,,,
2020-03-19,3.7048422297721437,3.432718976955336,3.1633394482720796,3.762904963880022,4.410808373199701,7.469373685226157,6.1268573471178485,4.608219478422915,6.846227186311718,4.580524045997114,2.8921705045047688,,,,,3.1092639108009372,3.265703140314606,,,,,,,,,,,,,,,,
2020-03-20,3.7312050198942175,3.2982235971230405,2.6750770982086016,3.2657031403146033,3.650592175494386,5.276023415412725,4.954056681806953,4.556653576218851,,3.3838529109079594,3.3369513435916183,,5.459053410128038,4.95405668180695,6.618539753521035,3.967947578026654,3.3838529109079567,,8.510710258025803,10.704060527839232,8.510710258025803,7.469373685226157,,,,,,,,,,,
2020-03-21,3.0227151473693326,3.10093800909793,2.2733792711109877,2.9340242977576505,2.541127872062695,,3.193350269813435,,4.234686842613078,2.8921705045047674,4.0272452839491875,9.361544189730923,5.659801207185261,2.8921705045047674,4.679467681699929,3.7430044362098904,3.1933502698134326,,,8.019027851622612,4.954056681806951,5.276023415412725,,,,,,,,,,,
2020-03-22,2.5858178939278615,2.8433044384573924,1.7621835951487308,2.061152596913085,2.470378217652847,4.954056681806951,2.625431239918344,3.1933502698134304,3.828633749994807,2.0413365727996466,3.3838529109079567,6.846227186311718,3.789906003526229,,,3.7899060035262306,,,,,4.234686842613079,,,,,,,,,,,,
2020-03-23,2.2289083359188737,2.8269013752893177,1.9364632454900415,1.895491369780489,1.7193698391938737,,2.892170504504772,2.770951567956216,3.5153170034192063,2.680012758813234,2.939072071821107,6.618539753521035,3.2380077078888037,,2.6644830717140864,2.7997582437892636,2.251898604108505,,,5.720804254499574,4.2346868426130815,,,,,,,,,,,,
2020-03-24,2.3425163381083145,2.9115745518652005,1.9427909300753432,1.766747572692618,1.5496541663964585,4.234686842613079,2.4861174118865,2.5702037708989938,3.9335070773044136,2.8447927710060177,1.9557072590147306,3.8286337499948075,2.4637352746568633,,1.850833931705121,3.0618861773021866,1.8508339317051223,,,4.234686842613079,,,,,,,,,,,,,
2020-03-25,2.3082923327894544,2.622540768059649,1.9248256667241614,1.8639980212994456,1.1244518197167555,,2.7997582437892645,2.6935589705503866,4.01759343631691,3.02363459701602,2.1031476309664106,3.5153170034192076,,,1.7795857284281087,3.0451896776787293,1.801967865657744,,4.234686842613079,3.9679475780266507,3.109263910800937,4.954056681806951,,,,,,,,,,,
2020-03-26,2.414589842769858,2.375265010515328,1.9803335254853318,1.6875153355320045,1.6231464989144422,,,2.280705279941548,4.036075308658695,2.6318108262388304,1.611465224563221,2.892170504504767,,2.342516338108311,2.570203770898992,2.295614770791975,1.9861091037803,7.469373685226157,3.6115403436986404,3.550537296384325,,,,,,,,,,,,,
2020-03-27,2.2858518662549305,2.0374622125383652,2.064045457838453,1.7795857284281091,1.4916824064031922,5.085520774318202,2.6644830717140886,1.9966791347242763,3.5668829056232685,2.730678035009884,1.4916824064031884,,,2.1728006653108967,1.7193698391938712,1.9060614007244727,,,,2.486117411886496,3.2657031403146064,5.276023415412726,,,,,,,,,,,
2020-03-28,2.1948306039406096,1.6770471520278452,1.6817655529883169,1.894447956323561,1.3546008992303067,4.234686842613079,2.600408838591878,1.3891141750489044,1.9966791347242747,2.7160489739181486,1.3923878803158607,3.0314843325366136,2.0413365727996466,2.342516338108311,1.0000000000000002,2.189497164934356,1.9364632454900421,6.126857347117846,2.570203770898995,2.4106440687403565,2.8921705045047674,4.67946768169993,,,,,,,,,,,
2020-03-29,2.068079721441577,1.7518902960023108,1.5551090666863712,1.9769677361820779,1.3374964207049247,3.9335070773044154,,0.6108858249510961,1.3891141750489029,2.265379595669328,1.5405484724505667,,,,,2.342516338108313,2.090202638847027,,,2.090202638847026,3.5505372963843267,3.5153170034192076,,,,,,,,,,,
2020-03-30,1.862018888216113,1.7038401520947257,1.3490723277192587,1.7703721683440932,1.4447808390868515,,2.1520136970137917,0.6264673641901638,,1.9483984608619203,1.5149576001213723,3.3838529109079567,2.172800665310896,,,2.410644068740359,,,2.892170504504769,2.125422931812143,4.23468684261308,2.224366567514958,,,,,,,,,,,
2020-03-31,1.9177778685075904,1.9595959166609287,1.7128928545779143,1.7038401520947264,1.5369902056623426,3.3838529109079576,,,0.6264673641901624,1.9201176362510974,1.888317399625687,2.1031476309664083,1.0000000000000009,2.0413365727996475,1.0000000000000002,2.313258144044869,1.9966791347242774,,,,3.74300443620989,,,,,,,,,,,,
2020-04-01,1.8240907830631954,1.8946094522371577,1.7255962132551812,1.629623483530396,1.4150882680769843,4.3984463350656755,1.584094667118699,1.5288671980993487,0.8169700052846848,1.9470572719845602,1.8629709129720597,1.7584216709896159,1.3591515253019342,1.9364632454900388,1.6231464989144397,2.04133657279965,2.1254229318121447,3.3838529109079567,,2.081740865600848,2.8095724780408973,1.7795857284281091,,,,,,,,,,,
2020-04-02,1.7834902355724438,1.9388868584589112,1.6283987973492018,1.7482657003508362,1.502276432897708,4.535866607921745,1.5663506660199176,2.684728945840876,0.9999999999999988,1.7878307246835785,1.88553049798021,,0.8238784694133816,2.8921705045047688,,2.467635539544711,1.5496541663964576,,1.6231464989144395,2.0413365727996458,1.3458372033840353,1.7193698391938719,,,8.510710258025803,,,,,,,,
2020-04-03,1.7307234524268011,1.733310601365974,1.1530191731739603,1.487013404846462,1.2948348742338158,3.743004436209891,1.6775160459409937,2.625431239918341,,1.5112902783871238,1.9023998339091854,1.227687432790684,0.22041427157189256,2.5702037708989924,,2.2311347582106458,1.3458372033840362,,2.172800665310897,1.7667475726926234,,1.0000000000000009,,,,,,,,,,,
2020-04-04,1.7575275879010228,1.6217130273422218,0.9625165320794338,1.751620601046491,1.098249242923222,3.447780851246046,1.640271900396266,2.0413365727996458,0.9999999999999988,1.410019660359558,1.9803335254853316,1.8915911048926446,-0.1728006653108943,,,2.058275490369016,1.0000000000000018,1.000000000000001,,2.0090411728583004,1.0000000000000009,,,,4.234686842613079,,,,,,,,
2020-04-05,1.8672621010138937,1.6122303145996402,1.2503793296308274,1.7193698391938697,0.9037766597205712,3.3545947168445136,1.6231464989144433,1.4060530926182724,0.9999999999999988,1.3909261209721404,1.936463245490037,,0.22041427157189256,,,2.11482890531763,1.0000000000000018,,,1.9786958112496549,,,,,4.234686842613078,,,,,,,,
2020-04-06,1.7285089690017827,1.596973313836262,1.4310754939447392,1.7013169475635763,0.9037766597205712,3.061886177302187,1.5915079596493429,1.3946011441309603,,1.3803008265055237,1.7992680295010615,1.4447808390868515,,2.4473896654179175,2.2518986041085043,2.1878060372961095,,,,,1.0000000000000009,,,,3.7430044362098904,,,,,,,,
2020-04-07,1.717197781129687,1.5485389395619833,1.6325456293157121,1.44127338558339,1.1905026410945252,1.9451132325202136,2.0652070425779114,1.3837777917725373,0.9999999999999988,1.3364820382062756,1.4670561399325848,1.0000000000000007,,2.3425163381083105,,2.392967279927987,1.1637594924525967,,,1.7795857284281082,,1.3458372033840353,,,,8.510710258025801,,,,,,,
2020-04-08,1.5792688530819519,1.4811514073022256,1.4002451682013188,1.3905954214243519,1.0962233402794341,1.8065997932505846,2.2243665675149633,1.2523136992612873,1.7193698391938697,1.5124693747003028,1.2745890001070226,0.3477776022492594,0.31585045377124715,2.6644830717140846,1.9060614007244698,1.8019678656577476,0.28063016080613085,,1.000000000000001,1.719369839193873,,,,,,,,,,,,,
2020-04-09,1.6687168663548124,1.4297243642944129,1.8163934309828804,1.5456329109415428,1.1905026410945252,1.9741891313565152,2.425114364572186,1.4790527189470575,2.152013697013787,1.389114175048908,1.1278618795445325,0.3158504537712468,1.0000000000000009,2.5702037708989938,0.37685350108556087,1.6817655529883186,0.6408484746980685,,,2.214654458563778,,,,,3.383852910907958,,,,,,,,
2020-04-10,1.6072325238019758,1.4988152571104056,1.7846389684093247,1.4352016362707178,1.4447808390868537,2.4577485301967155,2.3898940716070647,1.5768651278468253,2.0038531048790786,1.389114175048908,1.4649392577612605,0.013890896219701965,-1.8286337499948058,2.4861174118864966,0.7170850981899702,1.6544035927737006,0.6665248347499917,,,2.431407914638219,0.6541627966159664,,,7.469373685226157,,7.469373685226155,,,,,,,
2020-04-11,1.540548472450574,1.4908197265473924,1.8720944088724714,1.3918384405475581,1.5390601399019446,2.452325326022551,3.1821188163374674,1.4670561399325868,2.041336572799644,1.1106771242141402,1.7002832413534243,-0.3425163381083098,-0.4251143645721811,1.8508339317051234,,1.9720528682536755,1.3735326358098383,,2.0413365727996484,2.4251143645721815,,1.3219667336057752,,,,5.276023415412724,,,,,,,
2020-04-12,1.3209777187315315,1.6116122085052371,1.4916824064031928,1.3412372358684923,1.8508339317051234,2.7780653904720016,3.0793971421887547,1.3295486469984483,1.6775160459409886,1.5620820476873807,1.5915079596493396,-0.103147630966407,-1.2380077078888017,1.9966791347242765,,1.7516206010464952,-0.041336572799643534,,1.93646324549004,2.1184733152386266,,1.3458372033840353,,,2.4861174118864966,6.428037112426509,4.234686842613079,,,,,,
2020-04-13,1.2452305462219027,1.5300125329110053,1.5742804328670623,1.4563894686219239,1.0840863590125023,2.6187310712631873,3.2982235971230462,1.1072844183819275,1.9501284577924494,1.6278108338021606,1.5317398769630166,0.41590533288130543,1.7193698391938719,2.1254229318121434,,1.725596213255183,0.04429274098527417,,2.3425163381083123,2.09386996058127,0.6408484746980676,1.3219667336057752,,,,5.720804254499574,,,,,,,
2020-04-14,1.2244812034191728,1.5418828629075076,1.573163871869592,1.41908484268608,1.1666843854763718,2.6318108262388322,2.4398869842734694,1.321966733605773,1.2593259720557828,1.645877506675891,1.608780145854696,,,1.7193698391938714,0.7170850981899702,1.419329535902019,0.8169700052846878,-2.234686842613076,1.0000000000000018,2.154571475464589,0.28063016080612996,,,,3.383852910907956,5.968650105964664,,,,,,,
2020-04-15,1.4030517980004322,1.3263741005318306,1.606914598491592,1.2333819626817533,0.9215667811902261,2.6227125292870226,2.1960468736118535,1.207441558663893,,1.257536605980692,1.8446570060294167,,,1.6678039369898094,,1.3348048893412603,2.041336572799647,,,2.323351355662595,-0.22436656751495843,,,,3.1933502698134313,4.517601744423107,2.8921705045047683,,,,,,
2020-04-16,1.462270544339452,1.304757125902914,1.3317809678574075,1.3354737377288075,1.4749859067797322,2.5297994780977953,1.4916824064031917,1.1048733273096074,1.2456707562653013,1.254030963923416,1.8208231101637686,,1.3219667336057752,1.4749859067797322,1.9060614007244698,1.2187900675279681,1.596555733712796,,1.4060530926182737,1.999357279226284,,1.3011797653086659,,,3.298223597123038,3.905138195614627,,,,,,,
