,Bolivar,Boyaca,Caldas,Caqueta,Cauca,Cesar,Cordoba,Cundinamarca,Choco,Huila,La Guajira,Magdalena,Meta,Nariño,Norte de Santander,Quindio,Risaralda,Santander,Sucre,Tolima,Valle del Cauca,Arauca,Casanare,Putumayo,San Andres y Providencia,Amazonas,Guainia,Guaviare,Vaupes,Vichada,NN,Antioquia,Atlantico,Bogota
2020-03-01,14.240294456481934,16.468942642211914,16.411251068115234,15.100833892822266,16.552438735961914,13.9010648727417,14.107389450073242,16.35988998413086,14.911818504333496,16.257875442504883,12.968242645263672,13.509624481201172,14.786845207214355,16.347309112548828,15.356766700744629,16.750499725341797,16.367334365844727,15.428350448608398,13.84085750579834,16.646787643432617,16.54330825805664,14.709274291992188,14.72287654876709,15.55108642578125,,15.010132789611816,14.88099193572998,14.618139266967773,14.771172523498535,14.538742065429688,17.4320011138916,15.277090072631836,13.208000183105469,17.41900062561035
2020-03-02,14.132883071899414,16.649381637573242,16.009376525878906,15.775758743286133,16.6695613861084,13.756678581237793,14.545355796813965,16.60596466064453,14.775984764099121,16.879541397094727,13.247690200805664,13.516469955444336,15.575908660888672,16.324207305908203,15.06383228302002,16.729000091552734,16.103334426879883,15.143026351928711,14.119429588317871,16.83436393737793,16.44815444946289,15.209607124328613,15.370561599731445,15.899572372436523,,15.205256462097168,15.007926940917969,15.513618469238281,15.362984657287598,14.719157218933105,17.907001495361328,14.891708374023438,13.160334587097168,18.11400032043457
2020-03-03,14.623236656188965,16.973827362060547,16.53937530517578,15.93629264831543,16.82875633239746,14.320966720581055,14.585968017578125,16.448963165283203,15.43498420715332,16.750167846679688,13.790103912353516,14.000469207763672,15.534845352172852,16.668386459350586,15.707798957824707,16.645999908447266,16.530668258666992,16.080425262451172,14.167786598205566,16.63309097290039,16.42327117919922,15.416243553161621,15.253966331481934,16.262371063232422,,15.867117881774902,15.387855529785156,15.66660213470459,15.840001106262207,15.05709457397461,18.00800132751465,15.85637092590332,13.649666786193848,17.635000228881836
2020-03-04,14.096030235290527,16.511734008789062,16.191749572753906,16.113576889038086,16.531951904296875,13.957097053527832,14.016290664672852,16.24726104736328,14.96308422088623,16.62433433532715,14.204414367675781,13.97143840789795,15.30017375946045,16.177000045776367,14.88230037689209,16.47650146484375,16.16666603088379,15.32824993133545,13.771000862121582,16.547365188598633,16.293655395507812,14.68591022491455,14.8555269241333,16.50414276123047,,15.666183471679688,15.518106460571289,15.675206184387207,15.762615203857422,14.796656608581543,17.700000762939453,15.200886726379395,13.904000282287598,17.503000259399414
2020-03-05,14.508500099182129,16.3814697265625,16.275001525878906,15.379292488098145,15.79924488067627,14.361711502075195,14.346419334411621,16.226852416992188,15.060619354248047,15.876293182373047,14.073102951049805,14.161375999450684,15.074501991271973,15.73517894744873,15.581034660339355,16.3070011138916,16.190500259399414,15.445451736450195,14.10771369934082,16.262819290161133,15.83261775970459,14.73342514038086,14.719176292419434,15.679657936096191,,15.547680854797363,15.646946907043457,15.103684425354004,15.591500282287598,14.962883949279785,16.762001037597656,15.493821144104004,13.960000038146973,17.426000595092773
2020-03-06,14.360618591308594,16.89935302734375,16.531126022338867,15.68385124206543,17.285879135131836,14.169934272766113,14.25848388671875,16.739519119262695,15.134302139282227,17.467958450317383,13.779827117919922,13.957969665527344,15.912528038024902,17.004974365234375,15.40546703338623,16.955501556396484,16.557832717895508,15.719326972961426,14.025642395019531,17.115970611572266,16.680540084838867,15.219061851501465,15.199509620666504,16.11802864074707,,15.205451965332031,15.438516616821289,15.842329978942871,15.161585807800293,14.763063430786133,18.797000885009766,15.36552906036377,13.713000297546387,18.222000122070312
2020-03-07,14.440589904785156,16.755233764648438,16.469501495361328,15.880867958068848,16.701976776123047,14.266613006591797,14.3529691696167,16.826221466064453,15.137300491333008,16.90900230407715,13.729104042053223,14.122907638549805,15.893318176269531,16.36823081970215,15.540767669677734,17.060501098632812,16.51066780090332,15.469024658203125,14.090571403503418,17.099092483520508,16.667308807373047,15.248788833618164,15.29349136352539,16.171201705932617,,15.432000160217285,15.257062911987305,15.580835342407227,15.611772537231445,14.912538528442383,17.851001739501953,15.300023078918457,14.023667335510254,18.415000915527344
2020-03-08,14.772177696228027,17.014175415039062,16.63837432861328,15.426867485046387,16.43170738220215,14.498483657836914,14.676095962524414,16.712888717651367,15.091449737548828,16.563125610351562,13.861655235290527,14.10690689086914,15.437620162963867,16.017667770385742,15.97403335571289,16.73200035095215,16.48816680908203,16.05182456970215,14.347002029418945,16.791120529174805,16.300498962402344,15.24836540222168,15.220088958740234,15.691856384277344,,15.376664161682129,15.219053268432617,15.305781364440918,15.365171432495117,14.863204002380371,17.638999938964844,15.748023986816406,13.684666633605957,17.878000259399414
2020-03-09,14.150177001953125,16.763029098510742,16.41775131225586,15.039216995239258,16.448684692382812,14.08638858795166,14.051774978637695,16.783851623535156,14.70703411102295,16.82283592224121,13.51441478729248,13.546188354492188,15.5440092086792,15.747488021850586,15.467101097106934,16.867000579833984,16.307668685913086,15.571675300598145,13.689071655273438,17.041240692138672,16.498538970947266,14.860547065734863,15.035983085632324,15.265999794006348,,15.187979698181152,15.0763578414917,14.921932220458984,14.969386100769043,14.841297149658203,17.731000900268555,15.246246337890625,13.048001289367676,18.21000099182129
2020-03-10,14.050883293151855,16.66338348388672,16.09262466430664,15.378742218017578,16.477706909179688,13.880290031433105,14.139354705810547,16.10700225830078,14.787734031677246,16.263917922973633,13.216655731201172,13.400032043457031,15.09958267211914,16.1269474029541,15.266533851623535,16.28750228881836,16.05283546447754,15.597900390625,13.654143333435059,16.243637084960938,16.126962661743164,15.119000434875488,15.016036033630371,15.572800636291504,,15.491278648376465,15.417295455932617,15.236876487731934,15.275687217712402,15.040899276733398,17.578001022338867,15.189314842224121,12.9350004196167,17.18400001525879
