,Bolivar,Boyaca,Caldas,Caqueta,Cauca,Cesar,Cordoba,Cundinamarca,Choco,Huila,La Guajira,Magdalena,Meta,Nariño,Norte de Santander,Quindio,Risaralda,Santander,Sucre,Tolima,Valle del Cauca,Arauca,Casanare,Putumayo,San Andres y Providencia,Amazonas,Guainia,Guaviare,Vaupes,Vichada,NN,Antioquia,Atlantico,Bogota
2020-03-17,307.6099,295.39972,299.80493,304.7764,297.95624,306.54526,307.68124,300.0999,304.47876,300.3052,302.2193,305.85156,304.5995,298.6113,300.01724,297.51245,298.54153,303.03726,308.0844,299.3687,299.80096,306.7449,306.65622,303.1061,,304.90015,305.924,305.1612,305.25854,307.52744,291.37875,303.7147,303.91315,293.2113
2020-03-18,306.84512,294.66333,300.09314,305.18674,298.98306,306.29395,307.4483,299.62506,305.51245,301.05383,302.09796,305.78754,304.90518,300.3502,299.32617,298.41028,299.03314,302.51996,307.84604,299.45715,300.2052,305.68784,306.39963,304.0078,,303.03818,304.61948,305.29544,304.1052,307.82016,292.45575,303.10126,304.4001,293.14243
2020-03-19,307.8952,294.07208,299.67227,304.3515,298.39914,307.0582,308.24622,299.0628,305.99408,300.1687,303.23724,306.8201,304.3713,299.34995,299.8809,298.51807,299.0364,302.94193,308.9432,299.68115,300.59232,305.53375,306.36313,303.7447,,304.79648,304.6508,304.69583,304.5923,306.89154,291.76004,303.3708,304.64423,293.24265
2020-03-20,306.72552,293.0512,296.34103,304.78436,295.79572,305.94153,307.19305,297.11478,304.98718,296.60092,302.54703,305.2095,304.00516,297.37335,298.64417,295.8027,296.6486,301.8213,308.0682,295.81335,298.62814,306.02548,306.3553,303.12198,,306.70956,305.49484,305.04025,305.69028,307.42123,289.31873,301.75513,304.119,291.09586
2020-03-21,306.282,293.52344,298.02545,306.78146,299.5571,305.98755,306.70627,298.30322,305.62943,299.31107,301.9803,304.98602,305.6782,300.42874,299.32864,297.78113,298.722,301.79297,307.49506,297.76443,301.08325,306.87958,306.8394,306.47165,,307.5564,306.7906,306.66025,306.431,308.4142,292.8708,302.11423,304.2149,292.79147
2020-03-22,307.44855,295.03503,299.85217,307.2055,299.8336,306.32043,307.9154,299.48953,305.96335,300.209,302.3534,305.66183,306.42056,300.91525,299.6634,299.29993,299.40363,303.2269,308.62723,299.32706,301.04462,306.03857,307.12796,306.75412,,307.0128,306.32434,307.5489,306.6732,308.3019,293.52612,303.13303,303.85275,292.8961
2020-03-23,307.94644,293.92517,299.41864,304.76495,299.07477,307.04498,308.5025,299.2054,307.07898,298.95532,303.23404,305.9897,306.04807,299.71024,300.18802,299.54688,300.30603,303.38565,308.78256,298.86038,301.582,305.93817,307.291,304.4854,,305.26828,303.74652,305.6973,304.13956,307.8182,292.2383,303.64816,304.47983,292.71756
2020-03-24,307.7489,293.19962,297.05234,302.70114,296.2405,307.29602,307.75616,297.24295,304.83237,296.41696,303.4912,306.69077,303.8406,297.39645,300.06354,296.3692,297.5668,302.47534,308.54645,295.9292,298.7487,306.16974,306.34003,300.30392,,304.13947,304.90436,304.2887,305.25967,307.45657,289.40787,302.28635,304.98398,291.16434
2020-03-25,308.08035,294.45453,300.21542,303.20502,298.24066,307.17484,308.34592,299.43262,305.74597,298.8888,303.09476,306.05084,305.2439,298.58963,300.42264,299.26953,299.3407,303.71954,308.83408,299.32028,300.77527,306.51483,306.99277,302.85968,,303.93292,305.2447,303.82654,304.09927,308.3985,291.91064,303.95758,304.56064,293.06674
2020-03-26,307.98172,295.30392,300.07358,303.56308,297.9334,307.56345,307.53796,299.77646,304.75363,299.9576,303.697,306.3004,306.03195,299.30722,301.35123,298.52954,299.11362,304.19116,308.38895,299.54645,299.98532,307.2601,307.92484,304.2832,,304.96484,305.4219,305.55576,304.2091,308.69846,292.11304,303.74844,304.59406,294.01443
2020-03-27,307.37488,294.76813,300.10843,304.83563,298.09073,307.9812,307.59338,299.555,304.8831,299.918,304.3904,305.67233,306.2653,299.2155,301.4935,298.46628,299.74646,303.50528,307.88483,298.83627,299.66486,307.8677,308.25198,303.43713,,305.86356,306.86404,306.20303,305.88107,309.7735,292.519,303.81705,304.3204,292.42545
2020-03-28,307.6707,295.40622,300.67273,305.147,298.40582,307.50287,308.06625,299.08655,305.0618,300.316,302.95486,306.33096,307.03763,298.68698,300.54416,299.2481,299.94138,303.49985,308.58487,299.78192,300.6008,307.06656,308.1143,302.49298,,305.84546,306.92828,306.85803,306.49017,309.38837,292.91174,303.7556,304.34076,292.52402
2020-03-29,307.76938,295.10413,298.6568,302.0575,296.85464,307.47003,307.87152,299.50906,301.6467,300.07538,303.88824,306.97876,304.82883,297.76224,300.80237,296.24756,295.88635,303.57327,308.66782,298.96896,298.1404,306.21817,307.2648,301.84625,,301.2134,303.46695,303.1041,301.9323,307.68445,291.27216,302.27924,304.93158,294.86716
2020-03-30,307.67783,294.14703,297.5788,298.56223,295.29062,307.6798,307.63486,297.70297,303.80573,297.13464,304.04486,306.41046,302.3199,296.9549,300.81876,295.74698,296.50497,303.0147,308.23563,296.86517,297.4628,305.67743,305.33197,297.65497,,298.6013,298.9234,299.20938,298.08478,304.39117,288.85312,302.16833,304.83725,291.4631
2020-03-31,306.97607,294.35498,298.81772,300.992,297.42316,306.3351,307.0269,298.44037,302.8626,299.74716,302.87546,305.746,302.70135,298.32587,300.1841,295.92197,297.5621,302.82382,307.681,298.42368,299.35,303.02682,304.32498,298.08694,,303.60925,301.95343,301.55487,301.984,303.91965,291.7727,302.5673,304.76303,292.79324
2020-04-01,304.57498,293.42493,297.1264,301.8543,296.86627,303.50708,305.2854,297.4846,302.56284,298.21088,302.88797,303.42685,302.3625,298.7278,300.58255,295.32355,297.1972,301.06067,304.99396,296.85355,298.61456,303.97397,303.41428,301.51828,,300.11285,302.20648,302.67404,300.4142,304.23657,290.81317,301.03482,303.42328,292.32748
2020-04-02,305.67664,293.62378,299.7243,299.11197,297.55444,304.09995,305.91852,298.38458,304.27316,298.14688,302.80777,304.00662,299.74094,298.60855,300.4211,298.61383,299.59924,301.52637,306.03976,297.9122,300.02527,304.0609,302.4547,298.04315,,303.08435,302.93768,300.66373,302.13144,303.7284,291.4607,302.41446,303.48355,292.52283
2020-04-03,306.62064,295.26227,299.88522,302.91687,298.45923,305.02768,306.2771,299.36145,305.03906,298.91437,303.23254,305.20502,303.03738,298.9266,300.60565,298.62653,299.4224,302.67548,307.43182,299.59976,300.45285,305.47873,305.4275,302.62238,,303.7786,302.52686,303.47104,302.3937,304.45923,291.12277,303.05386,304.1295,294.43124
2020-04-04,305.6726,294.55096,299.9062,301.72427,298.30597,304.966,306.26282,299.66003,304.15335,299.8625,303.62155,305.21182,302.83698,299.02246,300.09354,298.5997,299.15024,302.51743,306.6184,299.80145,300.42908,303.78568,304.60568,301.02682,,302.08884,303.56894,302.5801,303.2995,304.94952,291.96423,302.60757,304.50104,294.059
2020-04-05,307.29755,295.18774,300.21432,299.2896,297.81802,306.0633,307.59424,299.20578,304.4194,299.32782,303.7508,306.40698,300.57718,298.77518,301.8914,297.81366,299.22577,303.25455,308.12692,298.98737,299.54492,303.88174,303.70837,299.28503,,300.88797,302.91373,299.85666,301.18808,303.1912,292.03894,303.40622,305.33707,293.35565
2020-04-06,305.35605,294.80005,299.7593,303.025,297.86722,304.74387,306.01007,299.22363,303.45386,300.16006,304.97784,306.1329,303.39117,298.521,300.26624,297.97717,298.6646,301.5756,306.13864,299.84055,299.42615,305.42908,305.1207,302.6124,,302.39294,302.19113,303.92786,302.2423,304.69293,291.53537,301.75064,306.37085,294.10498
2020-04-07,306.80115,295.0882,299.84,300.985,297.7573,306.15833,306.92847,298.35507,304.48242,297.71045,304.09583,306.82443,302.934,298.84012,301.19995,298.5211,299.51358,302.08066,307.83237,298.5939,299.9551,305.16537,304.82266,299.25217,,304.3868,305.33728,303.55008,305.18448,306.07922,289.9259,303.15436,305.61826,293.68796
2020-04-08,307.33392,295.60437,300.83234,300.6542,297.42096,306.9687,306.94067,298.68665,302.539,298.3212,304.24884,306.64236,301.83215,298.83826,302.05365,298.4178,298.8686,303.66772,308.16455,299.28287,298.94757,304.51495,303.68478,301.02783,,299.81396,302.4571,301.64517,299.97107,304.76868,289.68195,303.30267,304.87482,293.1888
2020-04-09,305.95444,294.79294,299.73514,300.9828,297.33557,305.8815,305.89203,298.429,302.0892,298.51105,304.61243,305.95364,301.51294,299.35544,301.42114,297.53986,299.08337,301.98096,306.8232,298.57156,298.97513,304.2016,303.7295,300.0858,,302.07382,302.09372,301.65222,301.9195,303.50763,290.2319,301.7728,305.40598,293.00528
2020-04-10,305.8624,295.07056,300.0956,301.58633,297.9361,306.65356,306.81747,298.9741,302.8155,299.33444,304.46774,306.95532,302.18362,298.64786,301.8596,296.92578,298.37323,302.16336,307.2696,299.1601,299.20438,304.23514,303.23843,302.28616,,301.34717,301.44226,300.9496,299.95895,303.50217,291.42334,302.28625,305.402,293.30624
