,Bolivar,Boyaca,Caldas,Caqueta,Cauca,Cesar,Cordoba,Cundinamarca,Choco,Huila,La Guajira,Magdalena,Meta,Nariño,Norte de Santander,Quindio,Risaralda,Santander,Sucre,Tolima,Valle del Cauca,Arauca,Casanare,Putumayo,San Andres y Providencia,Amazonas,Guainia,Guaviare,Vaupes,Vichada,NN,Antioquia,Atlantico,Bogota
2020-03-16,186249.25,139520.23,37857.707,513750.4,133150.56,167981.36,154217.27,122710.6,250456.4,104894.92,120572.72,148346.36,498505.62,131816.19,139086.38,8252.182,20093.611,187175.22,69758.61,139043.73,116177.46,154513.77,260864.17,136703.34,0.0,566524.6,403981.3,338836.3,313931.28,679545.8,4397.948,398766.12,27984.646,11452.099
2020-03-17,189552.72,169216.92,39500.367,584917.44,148294.12,171980.81,155889.89,157454.06,206996.53,114647.58,128626.86,153356.08,558564.94,172769.2,143118.44,7843.5674,16757.87,203704.95,72504.43,136655.98,108447.99,164583.52,290707.4,151859.67,0.0,630425.06,480439.44,383167.47,337319.53,719849.56,4809.831,431536.7,28362.86,15061.366
2020-03-18,179488.58,147649.0,41990.5,524158.28,160768.12,168983.3,152550.53,146246.5,269622.5,113766.56,128385.375,153976.66,501412.94,172752.75,130776.516,8553.811,21112.13,186610.9,69793.24,142006.97,133959.89,131409.55,229890.47,132755.34,0.0,505775.16,425852.75,334446.66,306676.88,693935.0,4997.1997,404860.22,28324.938,14945.046
2020-03-19,190665.28,126318.89,38167.902,540974.06,143085.67,169447.39,156774.44,129965.86,272633.62,100701.67,131632.3,158323.66,523607.47,149486.64,134638.53,8505.869,19655.95,183855.88,73481.34,144684.97,120053.05,133664.05,244262.31,132894.11,0.0,612537.94,398070.5,352603.1,319861.94,616580.8,4398.045,402252.78,29254.88,13350.493
2020-03-20,176762.28,139139.92,32563.76,527631.5,99825.195,153226.72,146771.16,127333.55,244645.61,74784.07,132389.36,140349.02,508217.38,101017.234,106245.85,6937.359,17427.28,172574.34,67329.92,99555.53,103765.695,130588.41,243933.48,127358.016,0.0,699526.4,437532.5,364636.47,340315.28,651012.0,3162.7166,335711.75,27092.543,12964.934
2020-03-21,180908.44,146997.02,39391.188,616600.56,212825.33,157258.58,153863.52,136065.2,281163.0,110642.586,130959.555,145450.34,539439.2,231491.02,122811.61,9292.989,20601.154,179083.52,69953.93,134840.62,148763.81,143956.64,268626.34,178286.53,0.0,716518.56,494441.72,394383.28,362354.9,722615.7,5711.907,390215.6,28070.037,13110.578
2020-03-22,196262.08,162930.0,45211.465,590040.25,214912.7,167228.95,164022.08,142529.23,305788.8,115965.35,130393.92,157952.92,556735.1,222456.27,140815.61,10433.508,26034.83,205339.92,75694.29,153735.72,156316.92,147449.72,280746.8,168744.27,0.0,675573.9,468169.7,402442.72,364858.84,689838.4,5745.422,443387.88,28960.443,13898.229
2020-03-23,195644.45,130676.33,41676.81,500911.44,178765.61,162511.05,165101.47,128556.35,304749.2,88013.195,135914.42,156118.45,514994.53,186655.3,130574.86,10275.799,25596.824,186820.73,75512.58,136102.2,151527.28,125758.086,259657.9,144508.61,0.0,437936.5,355149.1,313207.16,226284.62,574571.7,4103.9287,433792.12,28752.82,11844.504
2020-03-24,190554.12,124190.68,35280.496,488138.78,138548.5,161752.77,160713.77,110847.08,269311.44,87041.266,133207.11,154261.53,456227.9,159743.48,125464.78,7791.1323,20694.088,182308.06,74224.33,110833.16,122331.04,123751.44,236188.5,123210.305,0.0,600967.06,379825.97,303001.78,300884.22,562969.1,3885.4243,399880.5,28416.812,8850.821
2020-03-25,189776.06,131035.89,40606.6,497718.22,141855.14,157480.47,157155.53,130093.75,245365.98,89598.984,131484.06,150977.66,515293.88,169224.7,124762.305,8252.738,21327.617,191179.6,72978.65,126998.664,109104.3,132500.53,248002.28,141762.02,0.0,623786.6,425089.38,311941.25,309276.12,656332.2,3992.7288,414661.0,28509.219,12380.679
2020-03-26,185755.77,137289.9,37225.926,466781.2,138567.8,159570.95,156172.28,117962.97,217682.28,100997.49,142835.67,153267.92,452120.28,155397.48,124392.914,7841.6343,20825.22,179593.7,71921.88,127618.86,98435.84,117302.58,212193.56,137671.84,0.0,536341.06,404370.8,321482.44,270716.3,624502.06,4218.9126,394414.0,28945.07,11222.062
2020-03-27,182843.77,143044.77,40889.52,524688.44,147890.6,170485.9,157285.2,138707.88,220226.92,106173.8,150172.6,151281.14,485844.34,172590.42,147394.08,8198.967,20819.574,187299.42,68442.25,129859.74,105825.73,152222.47,244379.56,143032.72,0.0,623612.0,456844.25,350180.75,330889.03,722649.9,4615.3804,421344.2,28786.002,13777.289
2020-03-28,193400.42,140898.67,40863.367,490509.97,152692.8,178331.84,161793.1,100079.984,194824.66,90619.79,142162.02,162339.7,526783.75,150555.66,147533.92,7402.7476,18840.516,180784.05,74511.8,132616.83,96760.48,162897.2,289336.22,124033.586,0.0,618852.56,435500.06,352731.78,336547.22,713104.75,4771.5854,403481.28,29603.7,7513.878
2020-03-29,189667.94,169936.95,33840.395,419473.28,145835.3,171235.02,155773.48,145864.72,117907.234,113320.24,137689.88,163466.72,368051.75,150858.16,151752.88,6161.9795,10646.822,190583.75,75176.88,130625.914,76208.61,143697.88,248835.53,135631.33,0.0,300899.1,258742.16,176764.73,160751.92,490134.56,4647.3364,349047.22,29964.773,14760.962
2020-03-30,182467.27,134037.2,35599.234,230943.77,117606.3,161993.02,155164.28,122745.35,237870.98,80304.6,129048.375,156496.62,346892.44,118678.46,123883.96,8499.595,16579.67,180760.67,72661.55,127934.664,106037.43,111450.54,171830.89,54542.12,0.0,246786.69,132250.95,129304.83,87146.44,305197.47,3200.057,366400.4,29202.611,12166.236
2020-03-31,172797.06,120654.73,30758.854,252346.6,113255.195,147485.78,143889.9,100994.7,132519.62,74396.5,117659.195,143703.64,325801.12,129840.58,119466.81,4827.513,11774.541,161627.31,65815.98,105180.61,77374.766,98425.4,188047.39,48069.06,0.0,445470.16,242283.33,204416.1,186718.53,404862.47,2849.582,325496.62,27310.268,8567.389
2020-04-01,142258.61,110644.336,19991.596,408379.16,115992.79,119831.055,124134.52,96250.36,148989.98,77597.02,122641.86,119799.62,351514.9,140111.62,100421.61,3965.7673,8105.132,129573.02,53809.59,89453.4,76023.59,110227.73,172612.36,109400.79,0.0,276912.62,280537.2,260951.17,173467.81,459151.28,3301.7683,252918.16,24121.812,10623.7705
2020-04-02,160629.23,106218.266,42440.19,224256.86,150896.84,135963.77,140722.08,115603.484,245648.88,71080.78,124180.945,124557.695,258446.8,185349.97,121878.11,7703.4165,21475.754,147143.61,61978.453,115251.55,123718.484,111984.03,169571.05,55820.68,0.0,471647.4,313938.34,187901.27,189102.66,470298.8,3720.218,371398.8,22879.086,10808.872
2020-04-03,167320.28,144021.05,39281.848,501473.0,168858.84,135079.31,134373.39,130704.07,233761.2,98173.945,116338.9,141892.45,528968.3,174152.92,111777.375,6817.9785,18904.43,176000.9,65837.4,130101.625,121096.15,134874.06,256397.39,139773.83,0.0,485789.72,345444.22,345899.62,237993.64,509568.1,4032.9768,364468.9,27493.95,10588.489
2020-04-04,165072.75,133255.53,37423.72,373337.12,156115.97,131654.27,130717.92,120752.805,178046.9,97974.31,108343.336,137922.36,435878.75,178770.48,104339.58,7674.7715,16338.266,175000.45,62876.516,124773.38,97285.29,115171.836,236296.53,110781.29,0.0,378136.88,362938.72,248883.77,248462.97,511631.2,4339.015,357719.94,27784.648,10137.986
2020-04-05,173479.52,134633.47,40488.39,253862.67,136776.4,146156.06,145511.12,133076.84,175492.78,88440.914,114112.445,137756.06,353275.75,146756.55,131093.52,7835.846,19646.893,175432.05,68821.484,121777.055,105374.48,109261.445,211937.14,79591.3,0.0,383338.5,332921.53,189446.31,201769.75,373043.12,3541.4048,373031.47,27510.688,13026.995
2020-04-06,144336.02,137405.05,36596.777,459213.75,143619.58,103433.81,124911.61,125774.48,165329.2,95878.22,100137.35,123423.56,478914.25,154184.66,108800.72,8115.953,16785.998,153172.4,59624.695,130158.32,98719.1,121661.96,230164.92,114112.26,0.0,556769.44,310003.4,296251.56,247605.38,413744.22,3702.09,325262.06,26671.215,11136.475
2020-04-07,152700.53,119545.625,38364.566,343737.47,141365.73,131423.58,124232.05,94666.195,174182.89,69046.39,100953.7,130909.79,415201.75,168883.73,102335.14,7951.776,19218.078,136459.77,60564.387,116375.85,103173.74,115943.586,217565.66,87915.35,0.0,528585.8,357889.84,275408.94,299377.8,544069.0,2982.6797,348810.72,26862.254,7066.186
2020-04-08,170824.6,128635.55,41657.664,386656.56,144831.31,151243.05,134689.67,106444.9,134959.83,88523.54,124992.34,136114.64,387803.25,161413.03,122237.19,7092.3813,16406.77,168266.7,65383.85,128102.78,81400.234,117538.36,200558.81,126811.02,0.0,295249.66,228347.58,221641.0,158053.97,410608.53,3769.6333,365410.7,27129.078,9238.135
2020-04-09,149342.72,138931.33,32191.414,319021.38,77237.336,144620.9,118993.734,102269.9,125006.586,58243.945,137115.0,141688.03,361653.1,131468.75,126272.62,5026.846,15821.318,161100.98,61511.902,85570.4,50104.723,123064.62,221981.16,70189.39,0.0,412524.16,297570.3,223971.92,231362.39,448176.0,2324.1763,293277.56,27701.602,7925.191
2020-04-10,146517.97,126402.68,33020.926,354303.5,121768.13,153874.2,130767.81,99311.24,113152.92,74351.586,139704.4,147390.33,407676.72,107325.81,136787.72,4819.403,12685.007,156269.62,63130.855,99398.42,65254.098,127296.086,215647.88,116626.19,0.0,352875.06,263982.47,209521.33,143214.53,461608.4,3069.13,295754.25,27606.807,8384.486
2020-04-11,144682.52,93391.734,33021.457,400445.22,98620.03,142849.36,115535.484,88551.33,143781.12,70337.3,138791.55,133515.06,325277.75,96141.92,120554.12,5840.887,15587.066,125894.08,56726.21,97492.266,80554.64,113849.91,185992.02,100282.06,0.0,467774.22,322637.03,292877.03,277988.7,514438.12,2571.0334,271343.66,26418.865,7785.5264
2020-04-12,141409.28,128106.66,26673.652,371818.44,88480.234,148743.83,119002.38,99580.08,112453.53,54367.55,148771.36,127560.48,425768.2,112090.41,143673.0,3538.623,11457.775,147965.05,56116.36,75355.56,59327.37,148760.66,258691.28,94003.77,0.0,338172.5,430346.75,287056.84,232692.33,651797.56,1931.6176,274264.1,24079.828,7858.454
2020-04-13,148138.45,169555.62,38608.332,553013.3,92634.32,157043.86,129478.12,159017.75,128978.61,110085.07,147527.84,135916.61,583958.8,86842.23,158273.52,6156.9985,17628.506,186702.23,59215.04,129448.28,58592.63,174974.89,308119.66,131953.08,0.0,633257.0,459686.38,346743.47,313902.94,714986.6,3615.696,314018.97,24402.812,16220.832
2020-04-14,151816.06,155554.23,29799.781,622121.94,132495.69,164253.0,144573.9,127655.79,156548.12,88193.93,150744.78,141453.97,582856.3,155174.45,141240.08,6207.208,11412.603,168157.7,61763.84,93294.89,85768.86,172015.11,307421.38,164713.77,0.0,691868.06,488536.0,391071.6,360905.62,753989.2,3548.0413,352570.22,23761.686,12059.712
2020-04-15,163095.14,131372.19,36715.59,580002.94,133534.66,158945.36,148812.72,130496.805,281662.72,92392.484,148791.97,136717.39,549720.2,109117.85,144106.84,6927.272,19490.492,154733.48,63947.367,113975.945,113066.734,167414.19,288527.5,127360.69,0.0,719627.94,507393.28,392182.06,372557.44,738054.5,3973.8772,384862.47,24629.678,13597.978
2020-04-16,167323.06,120041.21,29635.072,471201.44,120352.34,169034.47,148309.03,114676.664,200966.12,79266.914,151134.12,147979.16,432867.9,149820.72,143722.83,5429.533,11298.595,153326.53,68419.06,117496.03,92153.016,149244.98,261843.0,97287.41,0.0,640882.9,467891.84,364928.2,333204.03,687102.06,3163.3008,358937.28,27073.18,9203.479
2020-04-17,178585.55,117435.75,39294.605,377103.22,164078.9,162963.7,151421.52,96586.54,255832.3,81003.74,140668.14,153450.81,479197.3,165132.75,143929.3,7423.616,20212.504,167940.33,70597.34,122011.1,118918.2,135643.89,220811.06,91437.04,0.0,335163.44,417279.5,297313.72,223242.23,618825.44,3752.9111,389687.9,28956.145,7414.824
